gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,No,No,56,No,No phone service,Fiber optic,Yes,No,No internet service,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),133.55,7492.6,0
Female,0,No,No,68,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,82.58,5554.99,1
Male,0,Yes,No,1,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),39.7,66.97,1
Female,0,Yes,No,27,Yes,Yes,No,No internet service,No internet service,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),88.37,2351.55,0
Female,0,No,No,28,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,Yes,No,Month-to-month,No,Mailed check,48.16,1365.83,0
Male,0,No,Yes,56,Yes,No,No,No internet service,No,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),91.66,5113.62,1
Male,0,Yes,No,3,No,No phone service,DSL,No,No internet service,Yes,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),44.9,151.53,0
Female,0,Yes,No,55,No,No phone service,DSL,No internet service,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,96.04,5367.2,0
Female,1,No,No,3,No,No phone service,Fiber optic,No internet service,No,Yes,No,No,No internet service,Two year,Yes,Bank transfer (automatic),100.78,154.44,0
Female,0,Yes,No,57,No,No phone service,DSL,No internet service,Yes,Yes,No,No internet service,Yes,Two year,No,Electronic check,38.37,2109.12,0
Male,1,Yes,Yes,42,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),39.8,1708.94,1
Female,0,No,No,37,No,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,121.35,4419.22,1
Female,0,Yes,Yes,1,No,No phone service,No,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,53.45,27.42,1
Male,0,No,No,70,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No,No,Month-to-month,No,Mailed check,130.23,9092.91,0
Male,0,Yes,Yes,10,No,No phone service,DSL,Yes,No internet service,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,31.42,306.15,0
Male,0,No,Yes,11,Yes,No,DSL,No,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,40.21,438.14,1
Female,0,No,No,25,Yes,Yes,DSL,No internet service,Yes,Yes,No,No,No,One year,No,Mailed check,46.37,1146.96,0
Female,1,No,Yes,7,No,No phone service,Fiber optic,No internet service,No,No,No,No,Yes,One year,No,Electronic check,50.37,353.18,1
Female,1,No,No,47,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,129.44,6149.02,1
Female,0,No,No,27,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,No,No,Month-to-month,Yes,Electronic check,123.53,3410.0,1
Male,0,No,Yes,10,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,Yes,Yes,Month-to-month,No,Mailed check,49.85,535.64,1
Female,0,No,No,25,Yes,No,No,No internet service,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),48.7,1177.96,0
Female,0,No,Yes,36,No,No phone service,DSL,Yes,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,98.8,3538.44,1
Male,0,Yes,No,16,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,39.69,676.11,1
Female,1,No,Yes,67,No,No phone service,Fiber optic,Yes,No internet service,No internet service,No,Yes,No,Month-to-month,No,Mailed check,100.3,6729.34,1
Male,0,No,No,19,No,No phone service,Fiber optic,No,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),72.82,1401.13,0
Female,0,Yes,No,44,No,No phone service,Fiber optic,No internet service,No internet service,Yes,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),106.99,4716.76,1
Male,0,Yes,Yes,39,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,No,No,Month-to-month,No,Electronic check,34.27,1374.54,1
Male,0,Yes,Yes,58,Yes,No,Fiber optic,Yes,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,81.64,4724.7,0
Female,1,No,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,37.71,962.1,1
Male,0,No,No,69,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,105.02,7290.09,0
Male,0,No,No,43,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Mailed check,53.43,2287.82,0
Male,1,No,Yes,6,No,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,107.0,699.65,0
Male,0,No,No,27,Yes,No,Fiber optic,No,No,No internet service,Yes,No internet service,No internet service,One year,No,Electronic check,79.01,2215.83,0
Female,1,No,No,5,Yes,Yes,Fiber optic,No,No internet service,Yes,No,Yes,No internet service,Month-to-month,No,Electronic check,42.28,285.15,0
Male,0,No,Yes,51,No,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,No,No internet service,Two year,No,Electronic check,127.12,6470.83,0
Male,1,Yes,Yes,67,No,No phone service,DSL,No,No,No internet service,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),72.55,4889.69,0
Female,0,Yes,Yes,57,No,No phone service,DSL,No internet service,No,Yes,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),82.47,4697.26,0
Female,0,No,No,32,Yes,No,Fiber optic,No,No,No internet service,No internet service,No,No internet service,Month-to-month,No,Bank transfer (automatic),120.76,3790.84,0
Male,1,No,No,41,Yes,Yes,No,No internet service,No internet service,No,No,No,No,One year,Yes,Credit card (automatic),95.18,4012.19,1
Female,0,Yes,No,20,Yes,Yes,DSL,Yes,Yes,No,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),37.83,743.57,1
Female,0,Yes,Yes,8,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),99.25,852.2,0
Female,1,Yes,Yes,36,No,No phone service,DSL,No internet service,Yes,Yes,Yes,Yes,No internet service,One year,No,Credit card (automatic),21.32,764.08,0
Male,0,No,No,58,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,73.84,4375.58,0
Female,0,No,Yes,37,Yes,No,No,No internet service,Yes,No internet service,Yes,No internet service,No,Month-to-month,No,Mailed check,55.38,1976.82,0
Male,1,Yes,No,32,Yes,Yes,DSL,No,Yes,No internet service,No internet service,Yes,No internet service,One year,No,Mailed check,79.39,2535.11,0
Male,0,Yes,No,2,No,No phone service,Fiber optic,Yes,Yes,No,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,51.03,48.31,0
Female,0,Yes,No,17,No,No phone service,DSL,No,No internet service,No,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),50.61,945.14,0
Male,0,No,Yes,38,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Mailed check,39.52,1492.87,0
Female,0,No,Yes,40,No,No phone service,DSL,No internet service,No,No,No internet service,No,No internet service,Month-to-month,No,Bank transfer (automatic),84.61,3362.01,0
